Date,Adj Close,Close,High,Low,Open,Volume
2021-07-23,4456.35009765625,4456.35009765625,4505.10009765625,4452.60009765625,4504.14990234375,1569800
2021-07-26,4446.5,4446.5,4474.25,4435.7001953125,4455.2998046875,1235900
2021-07-27,4416.0,4416.0,4463.60009765625,4400.7998046875,4458.25,1499800
2021-07-28,4417.5,4417.5,4421.2001953125,4345.75,4419.85009765625,1741900
2021-07-29,4420.2001953125,4420.2001953125,4447.5498046875,4415.60009765625,4439.75,1625700
2021-07-30,4432.2998046875,4432.2998046875,4467.9501953125,4416.25,4430.10009765625,2889000
2021-08-02,4500.0,4500.0,4503.2998046875,4450.35009765625,4460.35009765625,2467400
2021-08-03,4551.7001953125,4551.7001953125,4557.0498046875,4502.60009765625,4521.2998046875,2553700
2021-08-04,4520.35009765625,4520.35009765625,4576.39990234375,4515.25,4563.5498046875,2105300
2021-08-05,4543.2998046875,4543.2998046875,4564.85009765625,4504.75,4522.25,2625700
2021-08-06,4518.0498046875,4518.0498046875,4567.64990234375,4513.35009765625,4545.64990234375,2420700
2021-08-09,4476.14990234375,4476.14990234375,4533.60009765625,4464.5498046875,4533.60009765625,1878941700
2021-08-10,4464.2998046875,4464.2998046875,4504.0498046875,4427.7001953125,4488.85009765625,1800100
2021-08-11,4489.0,4489.0,4493.9501953125,4434.7001953125,4470.2001953125,1858200
2021-08-12,4528.75,4528.75,4533.14990234375,4494.35009765625,4500.2001953125,1911000
2021-08-13,4565.5498046875,4565.5498046875,4569.39990234375,4532.7001953125,4537.5498046875,1907000
2021-08-16,4569.7998046875,4569.7998046875,4591.7998046875,4556.35009765625,4576.5498046875,1642100
2021-08-17,4568.7998046875,4568.7998046875,4592.7998046875,4528.39990234375,4573.14990234375,1831800
2021-08-18,4573.39990234375,4573.39990234375,4602.0,4560.0498046875,4581.2001953125,1508400
2021-08-20,4490.89990234375,4490.89990234375,4559.4501953125,4475.0,4529.0,2053400
2021-08-23,4473.14990234375,4473.14990234375,4529.14990234375,4429.5498046875,4526.64990234375,1645900
2021-08-24,4526.2001953125,4526.2001953125,4530.0498046875,4489.2998046875,4497.2001953125,1642500
2021-08-25,4526.0,4526.0,4549.5498046875,4522.5,4540.7998046875,1607100
2021-08-26,4509.5,4509.5,4534.0,4493.25,4529.0498046875,1621800
2021-08-27,4563.2998046875,4563.2998046875,4577.7001953125,4511.7001953125,4523.89990234375,1345600
2021-08-30,4640.64990234375,4640.64990234375,4650.0,4577.60009765625,4586.2001953125,1883900
2021-08-31,4709.85009765625,4709.85009765625,4714.9501953125,4633.9501953125,4654.10009765625,2932800
2021-09-01,4727.75,4727.75,4743.89990234375,4707.10009765625,4729.64990234375,1957100
2021-09-02,4773.7001953125,4773.7001953125,4782.85009765625,4726.10009765625,4729.0498046875,1771100
2021-09-03,4830.7001953125,4830.7001953125,4835.4501953125,4782.9501953125,4799.64990234375,2640000
2021-09-06,4840.7998046875,4840.7998046875,4888.5498046875,4834.7001953125,4861.39990234375,1632300
2021-09-07,4846.60009765625,4846.60009765625,4862.25,4814.9501953125,4851.25,1725200
